기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 부산
기간 : 2009~2018 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2009-01,159,3.5,-7.6,12.7
2009-02,159,8.3,-3.1,17.4
2009-03,159,9.8,-0.6,20
2009-04,159,14.3,3.3,23.3
2009-05,159,18.6,12.5,26.9
2009-06,159,21.4,15.8,29.8
2009-07,159,23.3,18.4,29
2009-08,159,25,19.8,32.5
2009-09,159,22.7,17.6,29.1
2009-10,159,18.8,12.4,26.8
2009-11,159,11.1,-0.1,24.1
2009-12,159,5.4,-6,17.2
2010-01,159,3,-7.2,15.6
2010-02,159,5.8,-5,18.4
2010-03,159,7.8,-2.5,18.5
2010-04,159,11.5,1.9,21
2010-05,159,17.2,8.5,27.8
2010-06,159,22,12.4,29
2010-07,159,25.2,20.2,32.4
2010-08,159,27.9,24,34.1
2010-09,159,24.1,16.8,32.3
2010-10,159,18.2,5.5,26.9
2010-11,159,11.3,1.8,21
2010-12,159,5.2,-8.1,19.3
2011-01,159,-0.7,-12.8,9.5
2011-02,159,6.1,-3.4,17.6
2011-03,159,7.4,-2.5,20.1
2011-04,159,13.1,5.3,21.4
2011-05,159,17.3,11.7,24.2
2011-06,159,21.3,15.2,27.8
2011-07,159,25.1,19.4,33
2011-08,159,25.8,19.5,32.3
2011-09,159,23.3,14.8,31.6
2011-10,159,17.6,6.4,27.4
2011-11,159,14.1,0.9,24.6
2011-12,159,4.4,-5.6,15.3
2012-01,159,2.8,-6.5,13.7
2012-02,159,2.8,-9.9,16.4
2012-03,159,8.3,-3.6,19.7
2012-04,159,14,2.1,23.3
2012-05,159,18.9,11.4,28.2
2012-06,159,21.6,15.9,27.8
2012-07,159,25.5,20.2,33.1
2012-08,159,27.5,20.6,34.5
2012-09,159,22.2,14.1,29.2
2012-10,159,17.8,8.5,25.6
2012-11,159,10.1,0.6,19.6
2012-12,159,2.9,-7.7,14.7
2013-01,159,2.5,-8.1,13.3
2013-02,159,4.7,-10.7,17.2
2013-03,159,10.2,-2,19.3
2013-04,159,12.6,3.5,23.4
2013-05,159,18.2,10,28.1
2013-06,159,21.9,15.5,27.8
2013-07,159,26.1,21.8,31.9
2013-08,159,28,21.3,35
2013-09,159,23.7,17.3,31.4
2013-10,159,18.9,9.1,29.8
2013-11,159,10.9,-0.8,23.8
2013-12,159,5.4,-4,14.5
2014-01,159,5,-5.4,15.5
2014-02,159,5.8,-5.6,17.5
2014-03,159,9.8,-0.6,21.6
2014-04,159,14.6,4.1,23.9
2014-05,159,18.7,10.4,27.7
2014-06,159,21.4,16.5,29.9
2014-07,159,24.8,19.3,32.9
2014-08,159,24.2,19.4,32.2
2014-09,159,22.7,17.2,30.6
2014-10,159,17.9,10.9,25.7
2014-11,159,12.7,1.8,21.6
2014-12,159,3.5,-6,15.2
2015-01,159,4.7,-4.9,13.9
2015-02,159,5.4,-7.8,15.4
2015-03,159,9.5,-4.1,20.9
2015-04,159,13.9,5.9,23.9
2015-05,159,18.8,12.3,30.2
2015-06,159,21,13.7,28.1
2015-07,159,23.9,18.4,31.9
2015-08,159,26.1,20.5,33.5
2015-09,159,22.1,17,28.8
2015-10,159,18.1,5.8,26.5
2015-11,159,13.6,1.1,23.6
2015-12,159,7.9,-2.5,17.3
2016-01,159,3.1,-10.2,16.6
2016-02,159,5.5,-4,15.8
2016-03,159,9.9,-4.3,19.6
2016-04,159,15.1,8,24.2
2016-05,159,19.3,11.5,30.5
2016-06,159,21.9,15.7,28.7
2016-07,159,25.3,19.5,32.7
2016-08,159,27.7,17.5,37.3
2016-09,159,22.9,17.1,29.7
2016-10,159,18.7,9.8,28.3
2016-11,159,11.8,0.1,20.8
2016-12,159,7.3,-3.2,17.6
2017-01,159,4.1,-7.7,15.1
2017-02,159,5.5,-5.7,17.7
2017-03,159,9,-2.3,18.1
2017-04,159,15,5,23.2
2017-05,159,19,12.8,28.2
2017-06,159,21.3,15.4,30.4
2017-07,159,26.1,21.2,32.7
2017-08,159,27,18.7,36.2
2017-09,159,22.6,14.5,29.7
2017-10,159,18.1,7.3,28.7
2017-11,159,11.2,-1,23.6
2017-12,159,3.6,-6.1,14.5
2018-01,159,1.9,-9.9,14
2018-02,159,3.9,-9.6,14.7
2018-03,159,10,-0.7,22.3
2018-04,159,14.5,3,24.3
2018-05,159,17.8,9.8,26.6
2018-06,159,21.5,15.1,31.3
2018-07,159,26.7,17.8,35.4
2018-08,159,27.9,21.2,36.4
2018-09,159,21.9,14.9,30
2018-10,159,16.4,7.9,25.6
2018-11,159,12.4,2.7,22.5
2018-12,159,5.7,-7.1,18.8

